City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,TotalCrime
Clovis,103769,239,1,26,70,142,"3,083",420,"2,454",209,5,6649
Coachella,44953,153,3,3,51,96,"1,238",200,802,236,6,2788
Coalinga,16073,105,0,9,5,91,316,85,204,27,11,853
Colma3,1531,12,0,1,3,8,275,41,208,26,0,574
Colton,54503,185,3,11,77,94,"1,715",361,889,465,3,3803
Colusa3,5937,6,0,2,2,2,127,43,71,13,0,266
Commerce,13137,93,2,10,28,53,"1,247",100,798,349,8,2688
Compton,99125,988,13,33,332,610,"2,410",496,"1,147",767,53,6849
Concord,128767,491,4,29,182,276,"4,618",594,"3,068",956,8,10226
Corcoran3,22435,104,0,4,13,87,398,107,212,79,5,1009
Corning,7527,44,0,2,5,37,254,74,155,25,6,602
Corona,163633,212,5,30,98,79,"3,727",615,"2,646",466,13,7891
Coronado,25138,26,0,5,1,20,379,55,307,17,3,813
Costa Mesa3,113477,386,1,53,122,210,"4,723",698,"3,558",467,18,10236
Cotati,7469,32,0,10,1,21,108,32,61,15,1,281
